GEOID,NAME,P01
01001,"Autauga County, Alabama",43671
01003,"Baldwin County, Alabama",140415
01005,"Barbour County, Alabama",29038
01007,"Bibb County, Alabama",20826
01009,"Blount County, Alabama",51024
01011,"Bullock County, Alabama",11714
01013,"Butler County, Alabama",21399
01015,"Calhoun County, Alabama",112249
01017,"Chambers County, Alabama",36583
01019,"Cherokee County, Alabama",23988
01021,"Chilton County, Alabama",39593
01023,"Choctaw County, Alabama",15922
01025,"Clarke County, Alabama",27867
01027,"Clay County, Alabama",14254
01029,"Cleburne County, Alabama",14123
01031,"Coffee County, Alabama",43615
01033,"Colbert County, Alabama",54984
01035,"Conecuh County, Alabama",14089
01037,"Coosa County, Alabama",12202
01039,"Covington County, Alabama",37631
01041,"Crenshaw County, Alabama",13665
01043,"Cullman County, Alabama",77483
01045,"Dale County, Alabama",49129
01047,"Dallas County, Alabama",46365
01049,"DeKalb County, Alabama",64452
01051,"Elmore County, Alabama",65874
01053,"Escambia County, Alabama",38440
01055,"Etowah County, Alabama",103459
01057,"Fayette County, Alabama",18495
01059,"Franklin County, Alabama",31223
01061,"Geneva County, Alabama",25764
01063,"Greene County, Alabama",9974
01065,"Hale County, Alabama",17185
01067,"Henry County, Alabama",16310
01069,"Houston County, Alabama",88787
01071,"Jackson County, Alabama",53926
01073,"Jefferson County, Alabama",662047
01075,"Lamar County, Alabama",15904
01077,"Lauderdale County, Alabama",87966
01079,"Lawrence County, Alabama",34803
01081,"Lee County, Alabama",115092
01083,"Limestone County, Alabama",65676
01085,"Lowndes County, Alabama",13473
01087,"Macon County, Alabama",24105
01089,"Madison County, Alabama",276700
01091,"Marengo County, Alabama",22539
01093,"Marion County, Alabama",31214
01095,"Marshall County, Alabama",82231
01097,"Mobile County, Alabama",399843
01099,"Monroe County, Alabama",24324
01101,"Montgomery County, Alabama",223510
01103,"Morgan County, Alabama",111064
01105,"Perry County, Alabama",11861
01107,"Pickens County, Alabama",20949
01109,"Pike County, Alabama",29605
01111,"Randolph County, Alabama",22380
01113,"Russell County, Alabama",49756
01115,"St. Clair County, Alabama",64742
01117,"Shelby County, Alabama",143293
01119,"Sumter County, Alabama",14798
01121,"Talladega County, Alabama",80321
01123,"Tallapoosa County, Alabama",41475
01125,"Tuscaloosa County, Alabama",164875
01127,"Walker County, Alabama",70713
01129,"Washington County, Alabama",18097
01131,"Wilcox County, Alabama",13183
01133,"Winston County, Alabama",24843
02000,"Alaska",626932
04001,"Apache County, Arizona",69423
04003,"Cochise County, Arizona",117755
04005,"Coconino County, Arizona",116320
04007,"Gila County, Arizona",51335
04009,"Graham County, Arizona",33489
04011,"Greenlee County, Arizona",8547
04012,"La Paz County, Arizona",19715
04013,"Maricopa County, Arizona",3072149
04015,"Mohave County, Arizona",155032
04017,"Navajo County, Arizona",97470
04019,"Pima County, Arizona",843746
04021,"Pinal County, Arizona",179727
04023,"Santa Cruz County, Arizona",38381
04025,"Yavapai County, Arizona",167517
04027,"Yuma County, Arizona",160026
05001,"Arkansas County, Arkansas",20749
05003,"Ashley County, Arkansas",24209
05005,"Baxter County, Arkansas",38386
05007,"Benton County, Arkansas",153406
05009,"Boone County, Arkansas",33948
05011,"Bradley County, Arkansas",12600
05013,"Calhoun County, Arkansas",5744
05015,"Carroll County, Arkansas",25357
05017,"Chicot County, Arkansas",14117
05019,"Clark County, Arkansas",23546
05021,"Clay County, Arkansas",17609
05023,"Cleburne County, Arkansas",24046
05025,"Cleveland County, Arkansas",8571
05027,"Columbia County, Arkansas",25603
05029,"Conway County, Arkansas",20336
05031,"Craighead County, Arkansas",82148
05033,"Crawford County, Arkansas",53247
05035,"Crittenden County, Arkansas",50866
05037,"Cross County, Arkansas",19526
05039,"Dallas County, Arkansas",9210
05041,"Desha County, Arkansas",15341
05043,"Drew County, Arkansas",18723
05045,"Faulkner County, Arkansas",86014
05047,"Franklin County, Arkansas",17771
05049,"Fulton County, Arkansas",11642
05051,"Garland County, Arkansas",88068
05053,"Grant County, Arkansas",16464
05055,"Greene County, Arkansas",37331
05057,"Hempstead County, Arkansas",23587
05059,"Hot Spring County, Arkansas",30353
05061,"Howard County, Arkansas",14300
05063,"Independence County, Arkansas",34233
05065,"Izard County, Arkansas",13249
05067,"Jackson County, Arkansas",18418
05069,"Jefferson County, Arkansas",84278
05071,"Johnson County, Arkansas",22781
05073,"Lafayette County, Arkansas",8559
05075,"Lawrence County, Arkansas",17774
05077,"Lee County, Arkansas",12580
05079,"Lincoln County, Arkansas",14492
05081,"Little River County, Arkansas",13628
05083,"Logan County, Arkansas",22486
05085,"Lonoke County, Arkansas",52828
05087,"Madison County, Arkansas",14243
05089,"Marion County, Arkansas",16140
05091,"Miller County, Arkansas",40443
05093,"Mississippi County, Arkansas",51979
05095,"Monroe County, Arkansas",10254
05097,"Montgomery County, Arkansas",9245
05099,"Nevada County, Arkansas",9955
05101,"Newton County, Arkansas",8608
05103,"Ouachita County, Arkansas",28790
05105,"Perry County, Arkansas",10209
05107,"Phillips County, Arkansas",26445
05109,"Pike County, Arkansas",11303
05111,"Poinsett County, Arkansas",25614
05113,"Polk County, Arkansas",20229
05115,"Pope County, Arkansas",54469
05117,"Prairie County, Arkansas",9539
05119,"Pulaski County, Arkansas",361474
05121,"Randolph County, Arkansas",18195
05123,"St. Francis County, Arkansas",29329
05125,"Saline County, Arkansas",83529
05127,"Scott County, Arkansas",10996
05129,"Searcy County, Arkansas",8261
05131,"Sebastian County, Arkansas",115071
05133,"Sevier County, Arkansas",15757
05135,"Sharp County, Arkansas",17119
05137,"Stone County, Arkansas",11499
05139,"Union County, Arkansas",45629
05141,"Van Buren County, Arkansas",16192
05143,"Washington County, Arkansas",157715
05145,"White County, Arkansas",67165
05147,"Woodruff County, Arkansas",8741
05149,"Yell County, Arkansas",21139
06001,"Alameda County, California",1443741
06003,"Alpine County, California",1208
06005,"Amador County, California",35100
06007,"Butte County, California",203171
06009,"Calaveras County, California",40554
06011,"Colusa County, California",18804
06013,"Contra Costa County, California",948816
06015,"Del Norte County, California",27507
06017,"El Dorado County, California",156299
06019,"Fresno County, California",799407
06021,"Glenn County, California",26453
06023,"Humboldt County, California",126518
06025,"Imperial County, California",142361
06027,"Inyo County, California",17945
06029,"Kern County, California",661645
06031,"Kings County, California",129461
06033,"Lake County, California",58309
06035,"Lassen County, California",33828
06037,"Los Angeles County, California",9519338
06039,"Madera County, California",123109
06041,"Marin County, California",247289
06043,"Mariposa County, California",17130
06045,"Mendocino County, California",86265
06047,"Merced County, California",210554
06049,"Modoc County, California",9449
06051,"Mono County, California",12853
06053,"Monterey County, California",401762
06055,"Napa County, California",124279
06057,"Nevada County, California",92033
06059,"Orange County, California",2846289
06061,"Placer County, California",248399
06063,"Plumas County, California",20824
06065,"Riverside County, California",1545387
06067,"Sacramento County, California",1223499
06069,"San Benito County, California",53234
06071,"San Bernardino County, California",1709434
06073,"San Diego County, California",2813833
06075,"San Francisco County, California",776733
06077,"San Joaquin County, California",563598
06079,"San Luis Obispo County, California",246681
06081,"San Mateo County, California",707161
06083,"Santa Barbara County, California",399347
06085,"Santa Clara County, California",1682585
06087,"Santa Cruz County, California",255602
06089,"Shasta County, California",163256
06091,"Sierra County, California",3555
06093,"Siskiyou County, California",44301
06095,"Solano County, California",394542
06097,"Sonoma County, California",458614
06099,"Stanislaus County, California",446997
06101,"Sutter County, California",78930
06103,"Tehama County, California",56039
06105,"Trinity County, California",13022
06107,"Tulare County, California",368021
06109,"Tuolumne County, California",54501
06111,"Ventura County, California",753197
06113,"Yolo County, California",168660
06115,"Yuba County, California",60219
08001,"Adams County, Colorado",363857
08003,"Alamosa County, Colorado",14966
08005,"Arapahoe County, Colorado",487967
08007,"Archuleta County, Colorado",9898
08009,"Baca County, Colorado",4517
08011,"Bent County, Colorado",5998
08013,"Boulder County, Colorado",291288
