GEOID,P01,NAME
01001,34222,Autauga County
01003,98280,Baldwin County
01005,25417,Barbour County
01007,16598,Bibb County
01009,39248,Blount County
01011,11042,Bullock County
01013,21892,Butler County
01015,116032,Calhoun County
01017,36876,Chambers County
01019,19543,Cherokee County
01021,32458,Chilton County
01023,16018,Choctaw County
01025,27240,Clarke County
01027,13252,Clay County
01029,12730,Cleburne County
01031,40240,Coffee County
01033,51666,Colbert County
01035,14054,Conecuh County
01037,11063,Coosa County
01039,36478,Covington County
01041,13635,Crenshaw County
01043,67613,Cullman County
01045,49633,Dale County
01047,48130,Dallas County
01049,54651,DeKalb County
01051,49210,Elmore County
01053,35518,Escambia County
01055,99840,Etowah County
01057,17962,Fayette County
01059,27814,Franklin County
01061,23647,Geneva County
01063,10153,Greene County
01065,15498,Hale County
01067,15374,Henry County
01069,81331,Houston County
01071,47796,Jackson County
01073,651520,Jefferson County
01075,15715,Lamar County
01077,79661,Lauderdale County
01079,31513,Lawrence County
01081,87146,Lee County
01083,54135,Limestone County
01085,12658,Lowndes County
01087,24928,Macon County
01089,238912,Madison County
01091,23084,Marengo County
01093,29830,Marion County
01095,70832,Marshall County
01097,378643,Mobile County
01099,23968,Monroe County
01101,209085,Montgomery County
01103,100043,Morgan County
01105,12759,Perry County
01107,20699,Pickens County
01109,27595,Pike County
01111,19881,Randolph County
01113,46860,Russell County
01115,49811,St. Clair County
01117,99363,Shelby County
01119,16174,Sumter County
01121,74109,Talladega County
01123,38826,Tallapoosa County
01125,150500,Tuscaloosa County
01127,67670,Walker County
01129,16694,Washington County
01131,13568,Wilcox County
01133,22053,Winston County
02,550043,Alaska
04001,61591,Apache County
04003,97624,Cochise County
04005,96591,Coconino County
04007,40216,Gila County
04009,26554,Graham County
04011,8008,Greenlee County
04012,13844,La Paz County
04013,2122101,Maricopa County
04015,93497,Mohave County
04017,77674,Navajo County
04019,666957,Pima County
04021,116397,Pinal County
04023,29676,Santa Cruz County
04025,107714,Yavapai County
04027,106895,Yuma County
05001,21653,Arkansas County
05003,24319,Ashley County
05005,31186,Baxter County
05007,97530,Benton County
05009,28297,Boone County
05011,11793,Bradley County
05013,5826,Calhoun County
05015,18623,Carroll County
05017,15713,Chicot County
05019,21437,Clark County
05021,18107,Clay County
05023,19411,Cleburne County
05025,7781,Cleveland County
05027,25691,Columbia County
05029,19151,Conway County
05031,68956,Craighead County
05033,42493,Crawford County
05035,49939,Crittenden County
05037,19225,Cross County
05039,9614,Dallas County
05041,16798,Desha County
05043,17369,Drew County
05045,60006,Faulkner County
05047,14897,Franklin County
05049,10037,Fulton County
05051,73397,Garland County
05053,13948,Grant County
05055,31804,Greene County
05057,21621,Hempstead County
05059,26115,Hot Spring County
05061,13569,Howard County
05063,31192,Independence County
05065,11364,Izard County
05067,18944,Jackson County
05069,85487,Jefferson County
05071,18221,Johnson County
05073,9643,Lafayette County
05075,17455,Lawrence County
05077,13053,Lee County
05079,13690,Lincoln County
05081,13966,Little River County
05083,20557,Logan County
05085,39268,Lonoke County
05087,11618,Madison County
05089,12001,Marion County
05091,38467,Miller County
05093,57525,Mississippi County
05095,11333,Monroe County
05097,7841,Montgomery County
05099,10101,Nevada County
05101,7666,Newton County
05103,30574,Ouachita County
05105,7969,Perry County
05107,28830,Phillips County
05109,10086,Pike County
05111,24664,Poinsett County
05113,17347,Polk County
05115,45883,Pope County
05117,9518,Prairie County
05119,349569,Pulaski County
05121,16558,Randolph County
05123,28497,St. Francis County
05125,64183,Saline County
05127,10205,Scott County
05129,7841,Searcy County
05131,99590,Sebastian County
05133,13637,Sevier County
05135,14109,Sharp County
05137,9775,Stone County
05139,46719,Union County
05141,14008,Van Buren County
05143,113409,Washington County
05145,54676,White County
05147,9520,Woodruff County
05149,17759,Yell County
06001,1304347,Alameda County
06003,1113,Alpine County
06005,30039,Amador County
06007,182120,Butte County
06009,31998,Calaveras County
06011,16275,Colusa County
06013,803731,Contra Costa County
06015,23460,Del Norte County
06017,125995,El Dorado County
06019,667479,Fresno County
06021,24798,Glenn County
06023,119118,Humboldt County
06025,109303,Imperial County
06027,18281,Inyo County
06029,544981,Kern County
06031,101469,Kings County
06033,50631,Lake County
06035,27598,Lassen County
06037,8863052,Los Angeles County
06039,88090,Madera County
06041,230096,Marin County
06043,14302,Mariposa County
06045,80345,Mendocino County
06047,178403,Merced County
06049,9678,Modoc County
06051,9956,Mono County
06053,355660,Monterey County
06055,110765,Napa County
06057,78510,Nevada County
06059,2410668,Orange County
06061,172796,Placer County
06063,19739,Plumas County
06065,1170413,Riverside County
06067,1066789,Sacramento County
06069,36697,San Benito County
06071,1418380,San Bernardino County
06073,2498016,San Diego County
06075,723959,San Francisco County
06077,480628,San Joaquin County
06079,217162,San Luis Obispo County
06081,649623,San Mateo County
06083,369608,Santa Barbara County
06085,1497577,Santa Clara County
06087,229734,Santa Cruz County
06089,147036,Shasta County
06091,3318,Sierra County
06093,43531,Siskiyou County
06095,339469,Solano County
06097,388222,Sonoma County
06099,370522,Stanislaus County
06101,64409,Sutter County
06103,49625,Tehama County
06105,13063,Trinity County
06107,311932,Tulare County
06109,48456,Tuolumne County
06111,669016,Ventura County
06113,141212,Yolo County
06115,58234,Yuba County
08001,265038,Adams County
08003,13617,Alamosa County
08005,391572,Arapahoe County
08007,5345,Archuleta County
08009,4556,Baca County
08011,5048,Bent County
08013,225339,Boulder County
08015,12684,Chaffee County
08017,2397,Cheyenne County
08019,7619,Clear Creek County
08021,7453,Conejos County
08023,3190,Costilla County
08025,3946,Crowley County
08027,1926,Custer County
08029,20980,Delta County
08031,467549,Denver County
08033,1504,Dolores County
08035,60391,Douglas County
08037,21928,Eagle County
08039,9646,Elbert County
08041,397014,El Paso County
08043,32273,Fremont County
08045,29974,Garfield County
08047,3070,Gilpin County
08049,7966,Grand County
08051,10273,Gunnison County
08053,467,Hinsdale County
08055,6009,Huerfano County
08057,1605,Jackson County
08059,438430,Jefferson County
08061,1688,Kiowa County
08063,7140,Kit Carson County
08065,6007,Lake County
08067,32284,La Plata County
08069,186136,Larimer County
08071,13765,Las Animas County
08073,4529,Lincoln County
08075,17567,Logan County
08077,93145,Mesa County
08079,558,Mineral County
08081,11357,Moffat County
08083,18672,Montezuma County
08085,24423,Montrose County
08087,21939,Morgan County
08089,20185,Otero County
08091,2295,Ouray County
08093,7174,Park County
08095,4189,Phillips County
08097,12661,Pitkin County
08099,13347,Prowers County
08101,123051,Pueblo County
08103,6051,Rio Blanco County
08105,10770,Rio Grande County
08107,14088,Routt County
08109,4619,Saguache County
08111,745,San Juan County
08113,3653,San Miguel County
08115,2690,Sedgwick County
08117,12881,Summit County
08119,12468,Teller County
08121,4812,Washington County
08123,131821,Weld County
08125,8954,Yuma County
09001,827645,Fairfield County
09003,851783,Hartford County
09005,174092,Litchfield County
09007,143196,Middlesex County
09009,804219,New Haven County
09011,254957,New London County
09013,128699,Tolland County
09015,102525,Windham County
10001,110993,Kent County
10003,441946,New Castle County
10005,113229,Sussex County
11001,606900,District of Columbia
12001,181596,Alachua County
12003,18486,Baker County
12005,126994,Bay County
12007,22515,Bradford County
12009,398978,Brevard County
12011,1255531,Broward County
12013,11011,Calhoun County
12015,110975,Charlotte County
12017,93513,Citrus County
12019,105986,Clay County
12021,152099,Collier County
12023,42613,Columbia County
12027,23865,DeSoto County
12029,10585,Dixie County
12031,672971,Duval County
12033,262445,Escambia County
12035,28701,Flagler County
12037,8967,Franklin County
12039,41116,Gadsden County
12041,9667,Gilchrist County
12043,7591,Glades County
12045,11504,Gulf County
12047,10930,Hamilton County
12049,19499,Hardee County
12051,25773,Hendry County
12053,101115,Hernando County
12055,68432,Highlands County
12057,834054,Hillsborough County
12059,15778,Holmes County
12061,90208,Indian River County
12063,41375,Jackson County
12065,11296,Jefferson County
12067,5578,Lafayette County
12069,152104,Lake County
12071,335113,Lee County
12073,192493,Leon County
12075,25912,Levy County
12077,5569,Liberty County
12079,16569,Madison County
12081,211707,Manatee County
12083,194835,Marion County
12085,100900,Martin County
12086,1937194,Miami-Dade County
12087,78024,Monroe County
12089,43941,Nassau County
12091,143777,Okaloosa County
12093,29627,Okeechobee County
12095,677491,Orange County
12097,107728,Osceola County
12099,863503,Palm Beach County
12101,281131,Pasco County
12103,851659,Pinellas County
12105,405382,Polk County
12107,65070,Putnam County
12109,83829,St. Johns County
12111,150171,St. Lucie County
12113,81961,Santa Rosa County
12115,277776,Sarasota County
12117,287521,Seminole County
12119,31577,Sumter County
12121,26780,Suwannee County
12123,17111,Taylor County
12125,10252,Union County
12127,370737,Volusia County
12129,14202,Wakulla County
12131,27759,Walton County
12133,16919,Washington County
13001,15744,Appling County
13003,6213,Atkinson County
13005,9566,Bacon County
13007,3615,Baker County
13009,39530,Baldwin County
13011,10308,Banks County
13013,29721,Barrow County
13015,55915,Bartow County
13017,16245,Ben Hill County
13019,14153,Berrien County
13021,150137,Bibb County
13023,10430,Bleckley County
13025,11077,Brantley County
13027,15398,Brooks County
13029,15438,Bryan County
13031,43125,Bulloch County
13033,20579,Burke County
13035,15326,Butts County
13037,5013,Calhoun County
13039,30167,Camden County
13043,7744,Candler County
13045,71422,Carroll County
13047,42464,Catoosa County
13049,8496,Charlton County
13051,216774,Chatham County
13053,16934,Chattahoochee County
13055,22236,Chattooga County
13057,90204,Cherokee County
13059,87594,Clarke County
13061,3364,Clay County
13063,181436,Clayton County
13065,6160,Clinch County
13067,447745,Cobb County
13069,29592,Coffee County
13071,36645,Colquitt County
13073,66031,Columbia County
13075,13456,Cook County
13077,53853,Coweta County
13079,8991,Crawford County
13081,20011,Crisp County
13083,13183,Dade County
13085,9429,Dawson County
13087,25517,Decatur County
13089,546174,DeKalb County
13091,17607,Dodge County
13093,9901,Dooly County
13095,96321,Dougherty County
13097,71120,Douglas County
13099,11854,Early County
13101,2334,Echols County
13103,25687,Effingham County
13105,18949,Elbert County
13107,20546,Emanuel County
13109,8724,Evans County
13111,15992,Fannin County
13113,62415,Fayette County
13115,81251,Floyd County
13117,44083,Forsyth County
13119,16650,Franklin County
13121,648776,Fulton County
13123,13368,Gilmer County
13125,2357,Glascock County
13127,62496,Glynn County
13129,35067,Gordon County
13131,20279,Grady County
13133,11793,Greene County
13135,352910,Gwinnett County
13137,27622,Habersham County
13139,95434,Hall County
13141,8908,Hancock County
13143,21966,Haralson County
13145,17788,Harris County
13147,19712,Hart County
13149,8628,Heard County
13151,58741,Henry County
13153,89208,Houston County
13155,8649,Irwin County
13157,30005,Jackson County
13159,8453,Jasper County
13161,12032,Jeff Davis County
13163,17408,Jefferson County
13165,8247,Jenkins County
13167,8329,Johnson County
13169,20739,Jones County
13171,13038,Lamar County
13173,5531,Lanier County
13175,39988,Laurens County
13177,16250,Lee County
13179,52745,Liberty County
13181,7442,Lincoln County
13183,6202,Long County
13185,75981,Lowndes County
13187,14573,Lumpkin County
13189,20119,McDuffie County
13191,8634,McIntosh County
13193,13114,Macon County
13195,21050,Madison County
13197,5590,Marion County
13199,22411,Meriwether County
13201,6280,Miller County
13205,20275,Mitchell County
13207,17113,Monroe County
13209,7379,Montgomery County
13211,12883,Morgan County
13213,26147,Murray County
13215,179280,Muscogee County
13217,41808,Newton County
13219,17618,Oconee County
13221,9763,Oglethorpe County
13223,41611,Paulding County
13225,21189,Peach County
13227,14432,Pickens County
13229,13328,Pierce County
13231,10224,Pike County
13233,33815,Polk County
13235,8108,Pulaski County
13237,14137,Putnam County
13239,2210,Quitman County
13241,11648,Rabun County
13243,8023,Randolph County
13245,189719,Richmond County
13247,54091,Rockdale County
13249,3590,Schley County
13251,13842,Screven County
13253,9010,Seminole County
13255,54457,Spalding County
13257,23436,Stephens County
13259,5654,Stewart County
13261,30232,Sumter County
13263,6524,Talbot County
13265,1915,Taliaferro County
13267,17722,Tattnall County
13269,7642,Taylor County
13271,11000,Telfair County
13273,10653,Terrell County
13275,38943,Thomas County
13277,34998,Tift County
13279,24072,Toombs County
13281,6754,Towns County
13283,5994,Treutlen County
13285,55532,Troup County
13287,8703,Turner County
13289,9806,Twiggs County
13291,11993,Union County
13293,26300,Upson County
13295,58310,Walker County
13297,38586,Walton County
13299,35471,Ware County
13301,6078,Warren County
13303,19112,Washington County
13305,22356,Wayne County
13307,2263,Webster County
13309,4903,Wheeler County
13311,13006,White County
13313,72462,Whitfield County
13315,7008,Wilcox County
13317,10597,Wilkes County
13319,10228,Wilkinson County
13321,19744,Worth County
15,1108229,Hawaii
16001,205775,Ada County
16003,3254,Adams County
16005,66026,Bannock County
16007,6084,Bear Lake County
16009,7937,Benewah County
16011,37583,Bingham County
16013,13552,Blaine County
16015,3509,Boise County
16017,26622,Bonner County
16019,72207,Bonneville County
16021,8332,Boundary County
16023,2918,Butte County
16025,727,Camas County
16027,90076,Canyon County
16029,6963,Caribou County
16031,19532,Cassia County
16033,762,Clark County
16035,8505,Clearwater County
16037,4133,Custer County
16039,21205,Elmore County
16041,9232,Franklin County
16043,10937,Fremont County
16045,11844,Gem County
16047,11633,Gooding County
16049,13768,Idaho County
16051,16543,Jefferson County
16053,15138,Jerome County
16055,69795,Kootenai County
16057,30617,Latah County
16059,6899,Lemhi County
16061,3516,Lewis County
16063,3308,Lincoln County
16065,23674,Madison County
16067,19361,Minidoka County
16069,33754,Nez Perce County
16071,3492,Oneida County
16073,8392,Owyhee County
16075,16434,Payette County
16077,7086,Power County
