fips,name,d96,r96,p96,t96
01001,Autauga,5015,9509,813,15422
01003,Baldwin,12776,29487,4520,47119
01005,Barbour,4787,3627,515,8953
01007,Bibb,2775,3037,455,6301
01009,Blount,5061,9056,985,15327
01011,Bullock,3078,1154,111,4384
01013,Butler,3828,3352,538,7770
01015,Calhoun,15725,18088,2613,36911
01017,Chambers,5515,4707,812,11097
01019,Cherokee,4399,3048,899,8421
01021,Chilton,5354,7910,929,14278
01023,Choctaw,4074,2623,413,7131
01025,Clarke,4831,4785,478,10118
01027,Clay,2306,2694,538,5568
01029,Cleburne,1737,2063,385,4241
01031,Coffee,5168,7805,1042,14159
01033,Colbert,10226,8305,1696,20318
01035,Conecuh,2903,2093,445,5461
01037,Coosa,2121,1721,262,4131
01039,Covington,4543,6035,1098,11913
01041,Crenshaw,2172,1939,317,4447
01043,Cullman,9544,14308,2440,26553
01045,Dale,4732,8288,1216,14330
01047,Dallas,10507,6612,477,17654
01049,DeKalb,6544,9823,1609,18143
01051,Elmore,6530,12937,1368,20946
01053,Escambia,4651,5214,867,11104
01055,Etowah,17976,16835,2529,37561
01057,Fayette,3381,3191,590,7209
01059,Franklin,5028,4449,966,10482
01061,Geneva,3174,4725,857,8983
01063,Greene,3526,796,55,4424
01065,Hale,3372,1893,190,5473
01067,Henry,3019,3082,515,6637
01069,Houston,8791,17476,1653,28063
01071,Jackson,8204,5650,1573,15558
01073,Jefferson,120208,130980,7997,260906
01075,Lamar,2843,2955,597,6410
01077,Lauderdale,13619,14058,2574,30436
01079,Lawrence,5254,3893,964,10143
01081,Lee,12919,17985,1949,33214
01083,Limestone,8045,10862,1659,20682
01085,Lowndes,3970,1369,72,5441
01087,Macon,7018,987,150,8203
01089,Madison,42259,50390,7437,100858
01091,Marengo,4899,4013,337,9294
01093,Marion,5049,4742,979,10830
01095,Marshall,8722,12323,2150,23300
01097,Mobile,54749,66775,7555,130103
01099,Monroe,3815,4382,486,8698
01101,Montgomery,38382,37784,2036,78744
01103,Morgan,14616,21765,3348,40013
01105,Perry,4053,1703,119,5903
01107,Pickens,4018,3322,403,7773
01109,Pike,4514,5281,503,10341
01111,Randolph,3023,3304,603,6969
01113,Russell,7834,5025,792,13695
01117,Shelby,11280,37090,2035,50773
01115,St. Clair,6187,12762,1417,20489
01119,Sumter,4706,1561,172,6456
01121,Talladega,10385,10931,1335,22778
01123,Tallapoosa,6071,7627,1038,14815
01125,Tuscaloosa,23067,27939,3048,54382
01127,Walker,12929,9837,2012,24939
01129,Washington,3935,2900,819,7697
01131,Wilcox,3303,1454,71,4847
01133,Winston,3120,4728,723,8627
02000,Alaska,80380,122746,26333,241620
04001,Apache,12394,4761,1296,18684
04003,Cochise,13782,14365,3346,31923
04005,Coconino,20475,13638,3666,38522
04007,Gila,8577,6407,2211,17411
04009,Graham,3938,4222,1034,9296
04011,Greenlee,1755,1159,426,3393
04012,La Paz,1964,1902,597,4493
04013,Maricopa,363991,386015,58479,817432
04015,Mohave,16629,17997,6369,41533
04017,Navajo,12912,9262,2461,24938
04019,Pima,137983,104121,18809,264552
04021,Pinal,19579,13034,3972,36895
04023,Santa Cruz,5241,2256,600,8167
04025,Yavapai,21801,29921,6649,59495
04027,Yuma,12267,13013,2157,27671
05001,Arkansas,4220,1910,463,6698
05003,Ashley,5011,2428,704,8281
05005,Baxter,6703,6877,1572,15505
05007,Benton,17205,23748,4147,45768
05009,Boone,5745,6093,1132,13262
05011,Bradley,2566,1146,221,3968
05013,Calhoun,1306,727,237,2292
05015,Carroll,3689,3957,986,8823
05017,Chicot,3090,1056,233,4398
05019,Clark,5281,2112,567,8122
05021,Clay,3848,1512,464,5863
05023,Cleburne,4475,3807,1021,9464
05025,Cleveland,1741,990,268,3024
05027,Columbia,4730,3376,678,8982
05029,Conway,4055,2307,746,7282
05031,Craighead,13284,9210,1778,24582
05033,Crawford,6749,7182,1683,15814
05035,Crittenden,8415,4673,554,14236
05037,Cross,3631,2000,466,6160
05039,Dallas,2118,1041,236,3435
05041,Desha,3230,978,247,4553
05043,Drew,3570,1657,395,5675
05045,Faulkner,12032,10178,1528,24123
05047,Franklin,3269,2246,626,6188
05049,Fulton,2361,1351,455,4223
05051,Garland,19211,13662,2769,36206
05053,Grant,2948,1925,557,5536
05055,Greene,6622,3757,1014,11495
05057,Hempstead,4983,2021,501,7551
05059,Hot Spring,6002,2864,1123,10155
05061,Howard,2741,1478,369,4632
05063,Independence,6240,4021,1126,11628
05065,Izard,2818,1678,541,5113
05067,Jackson,4304,1525,611,6500
05069,Jefferson,19701,6330,1284,27677
05071,Johnson,3585,2367,757,6833
05073,Lafayette,2466,971,374,3845
05075,Lawrence,3652,1823,609,6141
05077,Lee,3267,1013,257,4553
05079,Lincoln,2517,907,221,3668
05081,Little River,3183,1409,480,5112
05083,Logan,3832,2966,1048,8002
05085,Lonoke,8049,6414,1369,16056
05087,Madison,2504,2303,461,5355
05089,Marion,2735,2312,764,6125
05091,Miller,6469,4874,1043,12506
05093,Mississippi,8301,3919,1016,13347
05095,Monroe,2247,973,202,3458
05097,Montgomery,1830,1137,427,3460
05099,Nevada,2279,976,345,3650
05101,Newton,1631,1927,498,4154
05103,Ouachita,6635,3136,733,10609
05105,Perry,1873,1143,395,3482
05107,Phillips,5715,2205,461,8570
05109,Pike,2362,1401,441,4263
05111,Poinsett,4686,2034,647,7427
05113,Polk,2824,2852,876,6679
05115,Pope,8433,8243,1891,18840
05117,Prairie,2211,1025,305,3575
05119,Pulaski,75084,44780,6014,127733
05121,Randolph,3213,1789,561,5633
05125,Saline,14027,11695,2612,28685
05127,Scott,2259,1426,513,4297
05129,Searcy,1669,1786,381,3969
05131,Sebastian,15514,16482,2899,35346
05133,Sevier,2553,1379,446,4425
05135,Sharp,3573,2635,687,6970
05123,St. Francis,5562,2523,506,8644
05137,Stone,2227,1526,579,4441
05139,Union,8373,6053,1073,15940
05141,Van Buren,3521,2345,830,6801
05143,Washington,20419,19476,3133,43967
05145,White,10204,8659,1828,20991
05147,Woodruff,2044,598,186,2852
05149,Yell,3749,2111,714,6644
06001,Alameda,303903,106581,24270,462044
06003,Alpine,258,264,63,614
06005,Amador,5868,6870,1267,14452
06007,Butte,30651,38961,6393,79550
06009,Calaveras,6646,8279,1612,17206
06011,Colusa,2054,3047,404,5612
06013,Contra Costa,196512,123954,20416,352602
06015,Del Norte,3652,3670,1225,8889
06017,El Dorado,22957,32759,5077,63196
06019,Fresno,94448,98813,10962,208393
06021,Glenn,2841,5041,788,8866
06023,Humboldt,24628,19803,5811,55757
06025,Imperial,14591,9705,1778,26400
06027,Inyo,2601,3924,811,7569
06029,Kern,62658,92151,13452,171391
06031,Kings,11254,12368,1745,25815
06033,Lake,10432,7458,2539,21335
06035,Lassen,3318,5194,1080,9875
06037,Los Angeles,1430629,746544,157752,2411014
06039,Madera,11254,16510,2192,30662
06041,Marin,67406,32714,6559,116140
06043,Mariposa,2920,3976,729,7949
06045,Mendocino,14952,9765,3685,32692
06047,Merced,21786,20847,3427,46938
06049,Modoc,1368,2285,528,4303
06051,Mono,1580,1882,447,4091
06053,Monterey,57700,39794,7240,108558
06055,Napa,24588,17439,4254,48319
06057,Nevada,15369,21784,3330,43219
06059,Orange,327485,446717,66195,864576
06061,Placer,34981,49808,6542,94427
06063,Plumas,3540,4905,919,9750
06065,Riverside,168579,178611,35481,391613
06067,Sacramento,203019,166049,23856,407414
06069,San Benito,7030,5384,1044,13906
06071,San Bernardino,183372,180135,39330,413355
06073,San Diego,389964,402876,63037,884151
