FIPS,name,GORE,BUSH,NADER,TOTAL_VOTE
02000,Alaska,79004,167398,28747,285560
01001,Autauga,4942,11993,160,17208
01003,Baldwin,13997,40872,1033,56480
01005,Barbour,5188,5096,46,10395
01007,Bibb,2710,4273,52,7101
01009,Blount,4977,12667,154,17973
01011,Bullock,3395,1433,24,4904
01013,Butler,3606,4127,36,7803
01015,Calhoun,15781,22306,481,38909
01017,Chambers,5616,6037,95,11834
01019,Cherokee,3497,4154,77,7823
01021,Chilton,4806,10066,92,15092
01023,Choctaw,3707,3600,33,7374
01025,Clarke,4679,5988,33,10752
01027,Clay,2045,3719,52,5883
01029,Cleburne,1664,3333,39,5092
01031,Coffee,5220,9938,155,15434
01033,Colbert,10543,10518,208,21532
01035,Conecuh,2783,2699,35,5551
01037,Coosa,2104,2382,34,4567
01039,Covington,4440,8961,123,13613
01041,Crenshaw,1934,2793,40,4795
01043,Cullman,9758,19157,282,29525
01045,Dale,4906,10593,188,15806
01047,Dallas,10967,7360,63,18464
01049,DeKalb,7056,12827,175,20285
01051,Elmore,6652,16777,212,23804
01053,Escambia,4523,6975,78,11660
01055,Etowah,17433,21087,435,39348
01057,Fayette,3064,4582,60,7808
01059,Franklin,4793,6119,72,11103
01061,Geneva,2769,6588,97,9559
01063,Greene,3504,850,24,4396
01065,Hale,4652,2984,43,7731
01067,Henry,2782,4054,48,6932
01069,Houston,9412,22150,257,32057
01071,Jackson,9066,8475,184,17906
01073,Jefferson,129889,138491,3393,273763
01075,Lamar,2653,4470,57,7249
01077,Lauderdale,13875,17478,354,32137
01079,Lawrence,6296,5671,63,12185
01081,Lee,14574,22433,895,38264
01083,Limestone,8992,14204,193,23634
01085,Lowndes,4557,1638,18,6243
01087,Macon,7665,1091,31,8831
01089,Madison,48199,62151,1885,113318
01091,Marengo,4841,4690,40,9608
01093,Marion,4600,6910,125,11756
01095,Marshall,10381,17084,256,27989
01097,Mobile,58640,78162,1585,139745
01099,Monroe,3741,5153,25,8951
01101,Montgomery,40371,38827,677,80328
01103,Morgan,16060,25774,450,42681
01105,Perry,4020,1732,18,5787
01107,Pickens,4143,4306,39,8540
01109,Pike,4357,6058,75,10544
01111,Randolph,3094,4666,60,7919
01113,Russell,8396,6198,109,14775
01115,St. Clair,6485,17117,221,24090
01117,Shelby,13183,47651,812,62128
01119,Sumter,4415,1629,20,6088
01121,Talladega,11264,13807,184,25451
01123,Tallapoosa,6183,9805,153,16253
01125,Tuscaloosa,24614,34003,1007,60114
01127,Walker,11621,13486,264,25641
01129,Washington,3386,4117,26,7596
01131,Wilcox,3444,1661,6,5126
01133,Winston,2692,6413,88,9318
04001,Apache,13025,5947,245,19456
04003,Cochise,13360,18180,1113,33241
04005,Coconino,20280,17562,2478,40883
04007,Gila,7700,9158,497,17736
04009,Graham,3355,6007,144,9664
04011,Greenlee,1216,1619,68,2960
04012,La Paz,1769,2543,91,4483
04013,Maricopa,386683,479967,22465,901699
04015,Mohave,17470,24386,1323,44141
04017,Navajo,11794,12386,517,25147
04019,Pima,147688,124579,12355,287640
04021,Pinal,19650,20122,904,41290
04023,Santa Cruz,5233,3344,217,8893
04025,Yavapai,24063,40144,2733,68228
04027,Yuma,12055,15708,495,28652
05001,Arkansas,2877,3353,65,6372
05003,Ashley,4253,3876,61,8271
05005,Baxter,6516,9538,429,16708
05007,Benton,17277,34838,862,53646
05009,Boone,4493,8569,289,13635
05011,Bradley,2122,1793,34,3979
05013,Calhoun,1017,1128,19,2185
05015,Carroll,3595,5556,301,9590
05017,Chicot,2820,1564,26,4452
05019,Clark,4661,3776,103,8626
05021,Clay,3527,2254,73,5900
05023,Cleburne,4120,5730,183,10207
05025,Cleveland,1414,1678,30,3181
05027,Columbia,4003,5018,70,9307
05029,Conway,3496,3545,84,7234
05031,Craighead,12376,12158,409,25157
05033,Crawford,6288,10804,223,17625
05035,Crittenden,7224,5857,97,13234
05037,Cross,3096,3033,38,6215
05039,Dallas,1710,1571,21,3325
05041,Desha,2776,1603,38,4495
05043,Drew,3060,2756,47,5922
05045,Faulkner,11950,16055,513,29216
05047,Franklin,2674,3277,100,6140
05049,Fulton,1976,2036,51,4108
05051,Garland,15840,19098,566,35935
05053,Grant,2535,3285,88,6013
05055,Greene,6319,5831,205,12484
05057,Hempstead,3937,3257,50,7289
05059,Hot Spring,5527,5042,202,10981
05061,Howard,2063,2326,50,4459
05063,Independence,5146,6145,171,11594
05065,Izard,2587,2301,76,5032
05067,Jackson,3651,2280,77,6072
05069,Jefferson,17716,8765,361,27201
05071,Johnson,3270,3657,109,7161
05073,Lafayette,1806,1538,27,3383
05075,Lawrence,3255,2626,87,6040
05077,Lee,2727,1351,18,4121
05079,Lincoln,1957,1526,21,3546
05081,Little River,2883,2283,50,5263
05083,Logan,3283,4487,124,8096
05085,Lonoke,6851,10606,237,17943
05087,Madison,2055,3387,88,5628
05089,Marion,2233,3402,220,6015
05091,Miller,6278,7276,100,13745
05093,Mississippi,7107,5199,110,12586
05095,Monroe,1910,1329,29,3293
05097,Montgomery,1438,2128,101,3739
05099,Nevada,1867,1796,42,3738
05101,Newton,1205,2529,112,3927
05103,Ouachita,5464,4739,100,10395
05105,Perry,1648,2114,61,4007
05107,Phillips,6018,3154,75,9313
05109,Pike,1604,2275,45,3971
05111,Poinsett,4102,2988,87,7235
05113,Polk,2315,4600,130,7193
05115,Pope,6669,11244,259,18422
05117,Prairie,1563,1862,29,3507
05119,Pulaski,68320,55866,1756,127151
05121,Randolph,3019,2673,84,5877
05123,St. Francis,4986,3414,42,8496
05125,Saline,12700,18617,533,32391
05127,Scott,1444,2399,48,3981
05129,Searcy,1229,2610,83,4058
05131,Sebastian,15555,23483,503,40159
05133,Sevier,2095,2111,55,4293
05135,Sharp,3236,3698,115,7126
05137,Stone,2043,2623,98,4860
05139,Union,6261,8647,130,15609
05141,Van Buren,3202,3485,153,6984
05143,Washington,21425,28231,1208,51459
05145,White,8342,13170,243,22150
05147,Woodruff,1699,898,19,2651
05149,Yell,3062,3223,78,6479
06001,Alameda,342889,119279,27499,494336
06003,Alpine,265,281,25,586
06005,Amador,5906,8766,584,15464
06007,Butte,31338,45584,5727,83721
06009,Calaveras,7093,10599,863,18876
06011,Colusa,1745,3629,151,5590
06013,Contra Costa,224338,141373,13067,381478
06015,Del Norte,3117,4526,485,8294
06017,El Dorado,26220,42045,3013,72136
06019,Fresno,95059,117342,6541,220835
06021,Glenn,2498,5795,268,8711
06023,Humboldt,24851,23219,7100,55972
06025,Imperial,15489,12524,608,28937
06027,Inyo,2652,4713,344,7815
06029,Kern,66003,110663,3474,182308
06031,Kings,11041,16377,567,28335
06033,Lake,10717,8699,1265,20919
06035,Lassen,2982,7080,339,10586
06037,Los Angeles,1710505,871930,83731,2695154
06039,Madera,11650,20283,1080,33395
06041,Marin,79135,34872,8289,123155
06043,Mariposa,2816,4727,379,8074
06045,Mendocino,16634,12272,5051,34410
06047,Merced,22726,26102,1166,50418
06049,Modoc,945,2969,122,4107
06051,Mono,1788,2296,230,4371
06053,Monterey,67618,43761,5059,117534
06055,Napa,28097,20633,2471,51724
06057,Nevada,17670,25998,3287,47479
06059,Orange,391819,541299,26833,970905
