FIPS,COUNTY,VOTE_DEM,VOTE_REP,TOTAL_VOTE
02008,"State House District 8, Denali-University",5758,6615,12942
02037,"State House District 37, Bristol Bay-Aleuti",5208,3046,8446
02012,"State House District 12, Richardson-Glenn H",3387,8108,11845
02013,"State House District 13, Greater Palmer",4819,10702,16012
02014,"State House District 14, Greater Wasilla",4403,10717,15548
02016,"State House District 16, Chugiak-South Mat-",4791,10587,15850
02015,"State House District 15, Rural Mat-Su",4766,10058,15400
02039,"State House District 39, Bering Straits",2365,2881,5568
02040,"State House District 40, Arctic",2328,3217,5788
02002,"State House District 2, Sitka-Wrangell-Pete",4961,5943,11402
02003,"State House District 3, Juneau-Downtown-Dou",6513,4790,11748
02004,"State House District 4, Juneau-Mendenhall V",4768,5802,10987
02006,"State House District 6, Interior Villages",3728,6177,10310
02017,"State House District 17, Eagle River",4646,10491,15510
02031,"State House District 31, Huffman-Ocean View",5315,9605,15270
02025,"State House District 25, East Spenard",5435,6892,12778
02018,"State House District 18, Military",4193,8424,12887
02029,"State House District 29, Campbell-Independe",4546,7743,12630
02030,"State House District 30, Lore-Abbott",5181,8733,14273
02024,"State House District 24, Midtown-Taku",5226,7622,13251
02020,"State House District 20, Mountain View-Wond",4465,6632,11480
02022,"State House District 22, University-Airport",5426,7207,13035
02027,"State House District 27, Sand Lake",5212,8500,14112
02021,"State House District 21, Baxter Bog",5488,8818,14671
02023,"State House District 23, Downtown-Rogers Pa",5991,6576,12985
02028,"State House District 28, Bayshore-Klatt",5141,9073,14577
02032,"State House District 32, Chugach State Park",6580,9783,16810
02019,"State House District 19, Muldoon",5061,8014,13458
02026,"State House District 26, Turnagain-Inlet Vi",6476,7776,14682
02036,"State House District 36, Kodiak",3245,5645,9241
02038,"State House District 38, Bethel",2366,2459,5075
02033,"State House District 33, Kenai-Soldotna",3192,7344,10938
02035,"State House District 35, Homer-Seward",5030,6007,11571
02034,"State House District 34, Rural Kenai",3033,7886,11353
02009,"State House District 9, City of Fairbanks",4177,6934,11486
02010,"State House District 10, Fairbanks-Fort Wai",3670,6745,10750
02011,"State House District 11, North Pole",3364,9280,13025
02007,"State House District 7, Farmers Loop-Steese",5008,7693,13221
02005,"State House District 5, Cordova-Southeast I",4679,5439,10609
02001,"State House District 1, Ketchikan",3662,6303,10417
27077,Lake of the Woods County,921,1428,2400
53073,Whatcom County,48268,40296,90394
30105,Valley County,1431,2476,4018
30029,Flathead County,11587,26019,38678
16021,Boundary County,1268,3012,4378
30071,Phillips County,456,1677,2170
38079,Rolette County,2564,1392,4044
30053,Lincoln County,2320,5889,8447
38009,Bottineau County,1168,2468,3674
30035,Glacier County,2641,1828,4562
30041,Hill County,2997,3505,6657
30005,Blaine County,1300,1424,2768
30019,Daniels County,326,764,1119
38067,Pembina County,1321,2466,3856
27069,Kittson County,1333,1307,2682
38095,Towner County,606,754,1391
38019,Cavalier County,887,1522,2444
53047,Okanogan County,6309,9636,16342
53065,Stevens County,6822,13015,20340
53051,Pend Oreille County,2310,3693,6198
53019,Ferry County,1201,2019,3341
30051,Liberty County,281,734,1033
38023,Divide County,487,751,1268
38013,Burke County,336,808,1165
30101,Toole County,690,1583,2311
38075,Renville County,497,953,1469
27135,Roseau County,2442,5355,7911
30091,Sheridan County,846,1159,2038
16017,Bonner County,6649,10697,17681
38101,Ward County,8236,17008,25612
53055,San Juan County,6589,3290,10088
27071,Koochiching County,3662,3539,7309
53057,Skagit County,25131,26139,52230
38105,Williams County,2512,6278,8929
38049,McHenry County,1030,1744,2820
27137,Saint Louis County,77958,40112,119565
30085,Roosevelt County,2195,1762,4028
53007,Chelan County,10471,18482,29396
38061,Mountrail County,1465,1527,3030
27089,Marshall County,2308,3187,5562
38069,Pierce County,686,1475,2195
38071,Ramsey County,1885,2943,4900
38099,Walsh County,1905,3194,5186
27007,Beltrami County,10592,10237,21131
30073,Pondera County,956,1853,2860
53029,Island County,18216,19754,38559
53009,Clallam County,17049,18871,36766
38005,Benson County,1196,1002,2246
30015,Chouteau County,946,1913,2921
53061,Snohomish County,156468,134317,294997
30089,Sanders County,1502,3461,5153
27031,Cook County,1733,1489,3303
26083,Keweenaw County,630,781,1439
27075,Lake County,4212,2769,7071
38063,Nelson County,778,1107,1922
38035,Grand Forks County,12646,17298,30511
27119,Polk County,6729,8724,15668
27113,Pennington County,3117,3767,7017
30083,Richland County,1120,3110,4308
53017,Douglas County,4306,8900,13372
38053,McKenzie County,847,1897,2762
53031,Jefferson County,11610,6650,18616
30099,Teton County,1047,2232,3359
30055,McCone County,320,791,1137
16079,Shoshone County,2331,2922,5337
30047,Lake County,4960,7245,12576
53063,Spokane County,87490,111606,202587
27029,Clearwater County,1871,2438,4361
16055,Kootenai County,17584,36173,54596
30033,Garfield County,52,590,655
27125,Red Lake County,963,1164,2177
53025,Grant County,7779,17799,25995
53043,Lincoln County,1706,4015,5811
30049,Lewis and Clark County,12717,16494,29842
53035,Kitsap County,60796,55608,118453
27061,Itasca County,13290,10705,24367
