STATE,COUNTY,GEOID,STATE_FIPS,VOTE_DEM,VOTE_REP,TOTAL_VOTE
AK,Alaska,02013,02,123594,193841,326197
MN,Lake of the Woods County,27077,27,971,1278,2313
WA,Whatcom County,53073,53,58236,40205,100339
MT,Valley County,30105,30,1645,2121,3911
MT,Flathead County,30029,30,16138,25559,43714
ID,Boundary County,16021,16,1484,3078,4733
MT,Phillips County,30071,30,638,1423,2123
ND,Rolette County,38079,38,3403,1045,4534
MT,Lincoln County,30053,30,3025,5704,9227
ND,Bottineau County,38009,38,1387,2059,3516
MT,Glacier County,30035,30,3423,1451,4970
MT,Hill County,30041,30,3596,2787,6624
MT,Blaine County,30005,30,1702,1139,2924
MT,Daniels County,30019,30,343,694,1073
ND,Pembina County,38067,38,1494,1722,3307
MN,Kittson County,27069,27,1492,1016,2568
ND,Towner County,38095,38,621,536,1197
ND,Cavalier County,38019,38,930,1128,2130
WA,Okanogan County,53047,53,7613,8798,16870
WA,Stevens County,53065,53,8499,13132,22341
WA,Pend Oreille County,53051,53,2562,3717,6552
WA,Ferry County,53019,53,1467,1916,3501
MT,Liberty County,30051,30,367,594,1001
ND,Divide County,38023,38,464,630,1131
ND,Burke County,38013,38,286,640,943
MT,Toole County,30101,30,737,1317,2121
ND,Renville County,38075,38,505,799,1346
MN,Roseau County,27135,27,3097,4438,7700
MT,Sheridan County,30091,30,953,987,2006
ID,Bonner County,16017,16,7840,11145,19547
ND,Ward County,38101,38,10144,15061,25621
WA,San Juan County,53055,53,7374,2958,10531
MN,Koochiching County,27071,27,3649,2962,6802
WA,Skagit County,53057,53,30053,24687,55886
ND,Williams County,38105,38,2921,6291,9373
ND,McHenry County,38049,38,981,1374,2416
MN,Saint Louis County,27137,27,77351,38742,118814
MT,Roosevelt County,30085,30,2564,1473,4150
WA,Chelan County,53007,53,13781,17605,31958
ND,Mountrail County,38061,38,1477,1406,2938
MN,Marshall County,27089,27,2311,2285,4739
ND,Pierce County,38069,38,792,1301,2139
ND,Ramsey County,38071,38,2314,2361,4762
ND,Walsh County,38099,38,2325,2415,4882
MN,Beltrami County,27007,27,12019,9762,22236
MT,Pondera County,30073,30,1223,1588,2885
WA,Island County,53029,53,22058,19426,42159
WA,Clallam County,53009,53,19470,18199,38519
ND,Benson County,38005,38,1569,733,2334
MT,Chouteau County,30015,30,1122,1634,2861
WA,Snohomish County,53061,53,187294,126722,320333
MT,Sanders County,30089,30,1970,3563,5849
MN,Cook County,27031,27,2019,1240,3348
MI,Keweenaw County,26083,26,610,756,1410
MN,Lake County,27075,27,4174,2636,6969
ND,Nelson County,38063,38,907,800,1752
ND,Grand Forks County,38035,38,16104,14520,31153
MN,Polk County,27119,27,7850,7148,15334
MN,Pennington County,27113,27,3394,3248,6822
MT,Richland County,30083,30,1203,3184,4516
WA,Douglas County,53017,53,5848,9098,15209
ND,McKenzie County,38053,38,933,1740,2715
WA,Jefferson County,53031,53,13252,6330,19991
MT,Teton County,30099,30,1294,1874,3272
MT,McCone County,30055,30,1607,2822,4567
ID,Shoshone County,16079,16,2521,2953,5666
MT,Lake County,30047,30,6766,6498,13913
WA,Spokane County,53063,53,105786,108314,219511
MN,Clearwater County,27029,27,1877,2291,4261
ID,Kootenai County,16055,16,22120,38387,61932
MT,Garfield County,30033,30,110,598,727
MN,Red Lake County,27125,27,1120,983,2191
WA,Grant County,53025,53,9601,17153,27438
WA,Lincoln County,53043,53,2032,3803,5977
MT,Lewis and Clark County,30049,30,17114,14966,32873
WA,Kitsap County,53035,53,68624,53297,124337
MN,Itasca County,27061,27,13460,10309,24395
ND,McLean County,38055,38,1867,2767,4736
ND,Eddy County,38027,38,583,548,1165
ND,Wells County,38103,38,841,1468,2377
ND,Sheridan County,38083,38,229,555,803
ND,Dunn County,38025,38,527,1080,1644
MT,Fergus County,30027,30,1933,4108,6232
MT,Dawson County,30021,30,1593,2639,4432
WA,King County,53033,53,648230,259716,922032
MT,Cascade County,30013,30,17664,16857,35388
ND,Steele County,38091,38,614,404,1032
ND,Griggs County,38039,38,598,682,1314
ND,Traill County,38097,38,2136,1845,4041
WA,Mason County,53045,53,15050,12600,28306
MT,Missoula County,30063,30,36531,20743,59075
MT,Powell County,30077,30,1021,1683,2814
MT,Petroleum County,30069,30,68,227,300
WA,Kittitas County,53037,53,8030,9471,17868
ND,Foster County,38031,38,687,914,1651
ND,Mercer County,38057,38,1476,2789,4397
WA,Grays Harbor County,53027,53,16354,12104,29184
MN,Mahnomen County,27087,27,1436,843,2343
MN,Norman County,27107,27,2129,1204,3434
MT,Mineral County,30061,30,845,1053,1995
MN,Cass County,27021,27,7276,8660,16307
ME,Aroostook County,23003,23,19345,15898,35994
MT,Judith Basin County,30045,30,397,801,1236
ID,Benewah County,16009,16,1407,2646,4164
MN,Hubbard County,27057,27,4872,6558,11638
WA,Pierce County,53053,53,181824,141673,329520
MT,Wibaux County,30109,30,146,379,561
ND,Billings County,38007,38,114,375,499
ND,Golden Valley County,38033,38,210,642,875
ND,Kidder County,38043,38,422,752,1228
ND,Stutsman County,38093,38,4056,5499,9784
ND,Burleigh County,38015,38,15600,25443,41772
ND,Oliver County,38065,38,332,682,1040
MI,Houghton County,26061,26,7476,8101,15972
WA,Adams County,53001,53,1552,3222,4858
WA,Whitman County,53075,53,9070,8104,17589
ND,Barnes County,38003,38,2741,2826,5694
ND,Cass County,38017,38,37622,32566,71419
WA,Thurston County,53067,53,75882,48366,126709
MT,Prairie County,30079,30,211,503,735
MN,Becker County,27005,27,7687,8851,16965
MN,Clay County,27027,27,16666,11978,29259
ID,Latah County,16057,16,9195,7988,17714
WA,Yakima County,53077,53,33792,41946,77062
MT,Meagher County,30059,30,298,624,966
WI,Ashland County,55003,55,5818,2634,8574
