GEOID,county,Obama,Romney,total
01001,Autauga,6363,17379,23973
01003,Baldwin,18424,66016,85491
01005,Barbour,5912,5550,11517
01007,Bibb,2202,6132,8420
01009,Blount,2970,20757,24060
01011,Bullock,4061,1251,5322
01013,Butler,4374,5087,9502
01015,Calhoun,15511,30278,46364
01017,Chambers,6871,7626,14629
01019,Cherokee,2132,7506,9792
01021,Chilton,3397,13932,17485
01023,Choctaw,3786,4152,7976
01025,Clarke,6334,7470,13860
01027,Clay,1777,4817,6679
01029,Cleburne,971,5272,6319
01031,Coffee,4925,14666,19821
01033,Colbert,9166,13936,23444
01035,Conecuh,3555,3439,7025
01037,Coosa,2191,3049,5282
01039,Covington,3158,12153,15439
01041,Crenshaw,2050,4331,6424
01043,Cullman,5052,28999,34555
01045,Dale,5286,13108,18601
01047,Dallas,14612,6288,20964
01049,DeKalb,5239,18331,23950
01051,Elmore,8954,26253,35546
01053,Escambia,5489,9287,14894
01055,Etowah,12803,29130,42624
01057,Fayette,1817,6054,7958
01059,Franklin,3171,7567,10881
01061,Geneva,2039,9175,11331
01063,Greene,4521,804,5343
01065,Hale,5411,3210,8647
01067,Henry,3083,5628,8766
01069,Houston,12367,29270,41984
01071,Jackson,5822,14439,20632
01073,Jefferson,159876,141683,304523
01075,Lamar,1646,5457,7176
01077,Lauderdale,12511,23911,37032
01079,Lawrence,5069,8874,14148
01081,Lee,21381,32194,54496
01083,Limestone,9829,25295,35540
01085,Lowndes,5747,1756,7523
01087,Macon,9045,1331,10396
01089,Madison,62015,90884,155428
01091,Marengo,6167,5336,11543
01093,Marion,2249,9697,12129
01095,Marshall,6299,25867,32644
01097,Mobile,78760,94893,175140
01099,Monroe,4914,5741,10717
01101,Montgomery,63085,38332,102067
01103,Morgan,13439,35391,49459
01105,Perry,4568,1506,6101
01107,Pickens,4455,5124,9621
01109,Pike,6035,7963,14123
01111,Randolph,3078,7224,10421
01113,Russell,10500,8278,18910
01115,"St. Clair",5801,29031,35235
01117,Shelby,20051,71436,92742
01119,Sumter,5421,1586,7030
01121,Talladega,13905,19246,33416
01123,Tallapoosa,6319,12396,18851
01125,Tuscaloosa,32048,45748,78772
01127,Walker,6557,21651,28585
01129,Washington,2976,5761,8787
01131,Wilcox,4868,1679,6555
01133,Winston,1286,8312,9728
04001,Apache,17147,8250,25917
04003,Cochise,18546,29497,49201
04005,Coconino,29257,21220,51962
04007,Gila,7697,13455,21595
04009,Graham,3609,8076,11905
04011,Greenlee,1310,1592,2986
04012,"La Paz",1880,3714,5735
04013,Maricopa,602288,749885,1380959
04015,Mohave,19533,49168,70328
04017,Navajo,16945,19884,37465
04019,Pima,201251,174779,383173
04021,Pinal,44306,62079,108682
04023,"Santa Cruz",9486,4235,13911
04025,Yavapai,33918,64468,100667
04027,Yuma,18059,23352,42073
05001,Arkansas,2455,3897,6494
05003,Ashley,2859,4867,7921
05005,Baxter,5172,13688,19339
05007,Benton,22636,54646,79257
05009,Boone,3772,11159,15391
05011,Bradley,1449,2134,3652
05013,Calhoun,660,1458,2174
05015,Carroll,3696,6125,10183
05017,Chicot,2649,1670,4361
05019,Clark,3811,4343,8409
05021,Clay,1738,3225,5110
05023,Cleburne,2620,8693,11647
05025,Cleveland,845,2313,3266
05027,Columbia,3557,5790,9455
05029,Conway,3005,4514,7730
05031,Craighead,10527,20350,31700
05033,Crawford,4881,15145,20591
05035,Crittenden,9487,6998,16716
05037,Cross,2279,4269,6681
05039,Dallas,1337,1665,3084
05041,Desha,2443,1896,4420
05043,Drew,2630,3887,6633
05045,Faulkner,13621,26722,41460
05047,Franklin,1726,4631,6540
05049,Fulton,1452,2949,4522
05051,Garland,13804,26014,40728
05053,Grant,1468,4829,6479
05055,Greene,4000,9071,13761
05057,Hempstead,2468,4284,6921
05059,"Hot Spring",3830,7097,11260
05061,Howard,1471,2892,4462
