GEOID,name,tot16,reporting,precincts,r16,d16,l16
01001,Autauga,24661,20,20,18110,5908,538
01003,Baldwin,94090,48,48,72780,18409,2448
01005,Barbour,10390,18,18,5431,4848,93
01007,Bibb,8748,10,10,6733,1874,124
01009,Blount,25384,26,26,22808,2150,337
01011,Bullock,4701,17,17,1139,3530,22
01013,Butler,8685,24,24,4891,3716,65
01015,Calhoun,47376,47,47,32803,13197,1114
01017,Chambers,13778,23,23,7803,5763,168
01019,Cherokee,10503,25,25,8809,1524,145
01021,Chilton,18255,20,20,15068,2909,226
01023,Choctaw,7268,34,34,4102,3109,51
01025,Clarke,12936,31,31,7109,5712,98
01027,Clay,6572,17,17,5230,1234,92
01029,Cleburne,6532,16,16,5738,684,90
01031,Coffee,20513,31,31,15825,4194,392
01033,Colbert,24626,37,37,16718,7296,506
01035,Conecuh,6543,29,29,3413,3069,51
01037,Coosa,5223,14,14,3376,1780,53
01039,Covington,15818,27,27,13222,2379,181
01041,Crenshaw,6252,20,20,4511,1663,64
01043,Cullman,37278,51,51,32734,3730,682
01045,Dale,18617,21,21,13798,4408,349
01047,Dallas,18730,31,31,5784,12826,96
01049,DeKalb,26086,53,53,21779,3682,469
01051,Elmore,36905,30,30,27619,8436,738
01053,Escambia,15213,31,31,10282,4698,195
01055,Etowah,43474,35,35,32132,10350,829
01057,Fayette,8196,29,29,6705,1358,109
01059,Franklin,11955,26,26,9466,2197,238
01061,Geneva,11659,27,27,9967,1522,147
01063,Greene,4862,16,16,838,4006,13
01065,Hale,8010,16,16,3172,4772,54
01067,Henry,8017,15,15,5623,2286,91
01069,Houston,42030,29,29,30567,10547,772
01071,Jackson,20785,39,39,16643,3663,389
01073,Jefferson,290111,363,363,130614,151581,6407
01075,Lamar,6931,27,27,5819,1035,62
01077,Lauderdale,38813,33,33,27735,9877,981
01079,Lawrence,14623,31,31,10732,3611,249
01081,Lee,57668,25,25,34321,20987,1998
01083,Limestone,39400,27,27,28824,9340,1036
01085,Lowndes,6676,14,14,1751,4882,32
01087,Macon,8748,16,16,1394,7237,69
01089,Madison,159473,74,74,89199,62435,6591
